molecule,voltage_vacuum_v,voltage_li_v,fraction_reduced,mean_charge_e
DMC,-1.1799999999999997,0.2200000000000002,0.9979525224778711,-0.9979525224778711
DMC,-1.1699999999999997,0.2300000000000002,0.9969884366563433,-0.9969884366563433
DMC,-1.1599999999999997,0.2400000000000002,0.9955724104622514,-0.9955724104622514
DMC,-1.1499999999999997,0.2500000000000002,0.993494918106269,-0.993494918106269
DMC,-1.1399999999999997,0.26000000000000023,0.9904519834506066,-0.9904519834506066
DMC,-1.1299999999999997,0.27000000000000024,0.9860056808888455,-0.9860056808888455
DMC,-1.1199999999999997,0.28000000000000025,0.9795316217015033,-0.9795316217015033
DMC,-1.1099999999999997,0.29000000000000026,0.9701531907900688,-0.9701531907900688
DMC,-1.0999999999999996,0.30000000000000027,0.9566677399348769,-0.9566677399348769
DMC,-1.0899999999999996,0.3100000000000003,0.9374819065972798,-0.9374819065972798
DMC,-1.0799999999999996,0.3200000000000003,0.9105952056693081,-0.9105952056693081
DMC,-1.0699999999999996,0.3300000000000003,0.873703289649162,-0.873703289649162
DMC,-1.0599999999999996,0.3400000000000003,0.8245219138757465,-0.8245219138757465
DMC,-1.0499999999999996,0.3500000000000003,0.7614185146897147,-0.7614185146897147
DMC,-1.0399999999999996,0.3600000000000003,0.6843110022585196,-0.6843110022585196
DMC,-1.0299999999999996,0.37000000000000033,0.5955211971386385,-0.5955211971386385
DMC,-1.0199999999999996,0.38000000000000034,0.5000050880999254,-0.5000050880999254
DMC,-1.0099999999999996,0.39000000000000035,0.4044886076965709,-0.4044886076965709
DMC,-0.9999999999999996,0.40000000000000036,0.31569779124305974,-0.31569779124305974
DMC,-0.9899999999999995,0.41000000000000036,0.23858887983749016,-0.23858887983749016
DMC,-0.9799999999999995,0.4200000000000004,0.17548397559742046,-0.17548397559742046
DMC,-0.9699999999999995,0.4300000000000004,0.1263012020249052,-0.1263012020249052
DMC,-0.9599999999999995,0.4400000000000004,0.08940810822799167,-0.08940810822799167
DMC,-0.9499999999999995,0.4500000000000004,0.06252047913645808,-0.06252047913645808
DMC,-0.9399999999999995,0.4600000000000004,0.04333394749666207,-0.04333394749666207
